eventId,headline,source,date,type,clientId,dbEntityId,industry,country,Description
E1,News Event 1 affecting industry Tech,FactSet,2023-03-04,Default,C40,DB1,Industrial,SG,"Default event 'News Event 1 affecting industry Tech' reported by FactSet on 2023-03-04, affecting Industrial in SG."
E2,News Event 2 affecting industry Tech,Bloomberg,2024-09-25,Sanction,C8,,Energy,US,"Sanction event 'News Event 2 affecting industry Tech' reported by Bloomberg on 2024-09-25, affecting Energy in US."
E3,News Event 3 affecting industry Tech,Reuters,2024-05-02,Tariff,C2,DB5,Industrial,SG,"Tariff event 'News Event 3 affecting industry Tech' reported by Reuters on 2024-05-02, affecting Industrial in SG."
E4,News Event 4 affecting industry Industrial,Bloomberg,2023-11-26,Sanction,C44,DB3,,,"Sanction event 'News Event 4 affecting industry Industrial' reported by Bloomberg on 2023-11-26, affecting  in ."
E5,News Event 5 affecting industry Tech,Bloomberg,2023-05-15,Merger,C50,,Tech,CN,"Merger event 'News Event 5 affecting industry Tech' reported by Bloomberg on 2023-05-15, affecting Tech in CN."
E6,News Event 6 affecting industry Industrial,Bloomberg,2024-02-27,Tariff,C17,,,,"Tariff event 'News Event 6 affecting industry Industrial' reported by Bloomberg on 2024-02-27, affecting  in ."
E7,News Event 7 affecting industry Tech,Bloomberg,2024-07-29,Tariff,C26,DB4,Energy,UK,"Tariff event 'News Event 7 affecting industry Tech' reported by Bloomberg on 2024-07-29, affecting Energy in UK."
E8,News Event 8 affecting industry Tech,Bloomberg,2023-12-08,Default,C3,DB5,,US,"Default event 'News Event 8 affecting industry Tech' reported by Bloomberg on 2023-12-08, affecting  in US."
E9,News Event 9 affecting industry Industrial,FactSet,2024-11-16,Merger,C4,,Energy,US,"Merger event 'News Event 9 affecting industry Industrial' reported by FactSet on 2024-11-16, affecting Energy in US."
E10,News Event 10 affecting industry Tech,Bloomberg,2023-01-23,Default,C22,DB1,Energy,,"Default event 'News Event 10 affecting industry Tech' reported by Bloomberg on 2023-01-23, affecting Energy in ."
E11,News Event 11 affecting industry Energy,Reuters,2023-08-30,Sanction,C12,DB5,,US,"Sanction event 'News Event 11 affecting industry Energy' reported by Reuters on 2023-08-30, affecting  in US."
E12,News Event 12 affecting industry Industrial,Reuters,2023-12-30,Default,C42,DB2,,DE,"Default event 'News Event 12 affecting industry Industrial' reported by Reuters on 2023-12-30, affecting  in DE."
