merchantId,name,industry,country,Description
M1,Merchant 1,Retail,CN,"Merchant 1 operates in the Retail sector, located in CN."
M2,Merchant 2,Tech,UK,"Merchant 2 operates in the Tech sector, located in UK."
M3,Merchant 3,Services,UK,"Merchant 3 operates in the Services sector, located in UK."
M4,Merchant 4,Services,SG,"Merchant 4 operates in the Services sector, located in SG."
M5,Merchant 5,Metals,DE,"Merchant 5 operates in the Metals sector, located in DE."
M6,Merchant 6,Services,UK,"Merchant 6 operates in the Services sector, located in UK."
M7,Merchant 7,Services,CN,"Merchant 7 operates in the Services sector, located in CN."
M8,Merchant 8,Services,SG,"Merchant 8 operates in the Services sector, located in SG."
M9,Merchant 9,Tech,UK,"Merchant 9 operates in the Tech sector, located in UK."
M10,Merchant 10,Services,SG,"Merchant 10 operates in the Services sector, located in SG."
M11,Merchant 11,Energy,SG,"Merchant 11 operates in the Energy sector, located in SG."
M12,Merchant 12,Metals,UK,"Merchant 12 operates in the Metals sector, located in UK."
M13,Merchant 13,Services,US,"Merchant 13 operates in the Services sector, located in US."
M14,Merchant 14,Tech,SG,"Merchant 14 operates in the Tech sector, located in SG."
M15,Merchant 15,Energy,US,"Merchant 15 operates in the Energy sector, located in US."
M16,Merchant 16,Retail,CN,"Merchant 16 operates in the Retail sector, located in CN."
M17,Merchant 17,Metals,SG,"Merchant 17 operates in the Metals sector, located in SG."
M18,Merchant 18,Metals,SG,"Merchant 18 operates in the Metals sector, located in SG."
M19,Merchant 19,Retail,CN,"Merchant 19 operates in the Retail sector, located in CN."
M20,Merchant 20,Tech,CN,"Merchant 20 operates in the Tech sector, located in CN."
M21,Merchant 21,Services,UK,"Merchant 21 operates in the Services sector, located in UK."
M22,Merchant 22,Tech,US,"Merchant 22 operates in the Tech sector, located in US."
M23,Merchant 23,Metals,UK,"Merchant 23 operates in the Metals sector, located in UK."
M24,Merchant 24,Metals,SG,"Merchant 24 operates in the Metals sector, located in SG."
M25,Merchant 25,Tech,DE,"Merchant 25 operates in the Tech sector, located in DE."
M26,Merchant 26,Services,CN,"Merchant 26 operates in the Services sector, located in CN."
M27,Merchant 27,Tech,US,"Merchant 27 operates in the Tech sector, located in US."
M28,Merchant 28,Retail,CN,"Merchant 28 operates in the Retail sector, located in CN."
M29,Merchant 29,Services,CN,"Merchant 29 operates in the Services sector, located in CN."
M30,Merchant 30,Services,SG,"Merchant 30 operates in the Services sector, located in SG."
M31,Merchant 31,Energy,CN,"Merchant 31 operates in the Energy sector, located in CN."
M32,Merchant 32,Energy,SG,"Merchant 32 operates in the Energy sector, located in SG."
M33,Merchant 33,Tech,DE,"Merchant 33 operates in the Tech sector, located in DE."
M34,Merchant 34,Metals,SG,"Merchant 34 operates in the Metals sector, located in SG."
M35,Merchant 35,Tech,SG,"Merchant 35 operates in the Tech sector, located in SG."
M36,Merchant 36,Energy,UK,"Merchant 36 operates in the Energy sector, located in UK."
M37,Merchant 37,Services,UK,"Merchant 37 operates in the Services sector, located in UK."
M38,Merchant 38,Retail,DE,"Merchant 38 operates in the Retail sector, located in DE."
M39,Merchant 39,Metals,UK,"Merchant 39 operates in the Metals sector, located in UK."
M40,Merchant 40,Tech,DE,"Merchant 40 operates in the Tech sector, located in DE."
M41,Merchant 41,Services,UK,"Merchant 41 operates in the Services sector, located in UK."
M42,Merchant 42,Retail,UK,"Merchant 42 operates in the Retail sector, located in UK."
M43,Merchant 43,Energy,UK,"Merchant 43 operates in the Energy sector, located in UK."
M44,Merchant 44,Retail,CN,"Merchant 44 operates in the Retail sector, located in CN."
M45,Merchant 45,Energy,SG,"Merchant 45 operates in the Energy sector, located in SG."
M46,Merchant 46,Energy,DE,"Merchant 46 operates in the Energy sector, located in DE."
M47,Merchant 47,Metals,CN,"Merchant 47 operates in the Metals sector, located in CN."
M48,Merchant 48,Services,CN,"Merchant 48 operates in the Services sector, located in CN."
M49,Merchant 49,Services,US,"Merchant 49 operates in the Services sector, located in US."
M50,Merchant 50,Services,SG,"Merchant 50 operates in the Services sector, located in SG."
M51,Merchant 51,Metals,CN,"Merchant 51 operates in the Metals sector, located in CN."
M52,Merchant 52,Energy,UK,"Merchant 52 operates in the Energy sector, located in UK."
M53,Merchant 53,Energy,UK,"Merchant 53 operates in the Energy sector, located in UK."
M54,Merchant 54,Tech,SG,"Merchant 54 operates in the Tech sector, located in SG."
M55,Merchant 55,Services,DE,"Merchant 55 operates in the Services sector, located in DE."
M56,Merchant 56,Retail,UK,"Merchant 56 operates in the Retail sector, located in UK."
M57,Merchant 57,Metals,CN,"Merchant 57 operates in the Metals sector, located in CN."
M58,Merchant 58,Services,CN,"Merchant 58 operates in the Services sector, located in CN."
M59,Merchant 59,Retail,US,"Merchant 59 operates in the Retail sector, located in US."
M60,Merchant 60,Services,US,"Merchant 60 operates in the Services sector, located in US."
M61,Merchant 61,Metals,UK,"Merchant 61 operates in the Metals sector, located in UK."
M62,Merchant 62,Retail,UK,"Merchant 62 operates in the Retail sector, located in UK."
M63,Merchant 63,Energy,CN,"Merchant 63 operates in the Energy sector, located in CN."
M64,Merchant 64,Metals,SG,"Merchant 64 operates in the Metals sector, located in SG."
M65,Merchant 65,Retail,US,"Merchant 65 operates in the Retail sector, located in US."
M66,Merchant 66,Services,DE,"Merchant 66 operates in the Services sector, located in DE."
M67,Merchant 67,Tech,DE,"Merchant 67 operates in the Tech sector, located in DE."
M68,Merchant 68,Tech,US,"Merchant 68 operates in the Tech sector, located in US."
M69,Merchant 69,Services,UK,"Merchant 69 operates in the Services sector, located in UK."
M70,Merchant 70,Metals,SG,"Merchant 70 operates in the Metals sector, located in SG."
M71,Merchant 71,Energy,CN,"Merchant 71 operates in the Energy sector, located in CN."
M72,Merchant 72,Services,DE,"Merchant 72 operates in the Services sector, located in DE."
M73,Merchant 73,Services,US,"Merchant 73 operates in the Services sector, located in US."
M74,Merchant 74,Services,SG,"Merchant 74 operates in the Services sector, located in SG."
M75,Merchant 75,Energy,SG,"Merchant 75 operates in the Energy sector, located in SG."
